cycles,instructions,load_misses,store_misses,ept_walk_cycles
0,0,0,0,0
0,0,0,0,0
52112,77106,24168,10117,1180
8681,2429,716,362,983
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
51953,77106,24168,10117,882
10224,2839,839,418,1125
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
50714,77106,24168,10117,162
0,0,0,0,0
8964,2495,733,372,1251
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
54139,77106,24168,10117,3208
0,0,0,0,0
10542,2839,839,418,1399
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
53921,77107,24173,10117,1302
0,0,0,0,0
7712,2429,716,362,376
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
51402,77106,24168,10117,390
0,0,0,0,0
10341,2839,839,418,1104
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
50813,77106,24168,10117,259
0,0,0,0,0
7028,2429,716,362,400
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
54088,77106,24168,10117,3251
0,0,0,0,0
10608,2839,839,418,1235
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
52806,77106,24168,10117,985
0,0,0,0,0
9206,2495,733,372,1034
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
52767,77106,24168,10117,319
0,0,0,0,0
10488,2839,839,418,1197
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
54796,77106,24168,10117,3936
0,0,0,0,0
7374,2429,716,362,522
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
54676,77106,24168,10117,3441
0,0,0,0,0
10412,2839,839,418,1189
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
52822,77106,24168,10117,1031
0,0,0,0,0
8952,2429,716,362,871
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
51959,77106,24168,10117,551
0,0,0,0,0
10312,2839,839,418,1249
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
50971,77106,24168,10117,279
0,0,0,0,0
7861,2495,733,372,229
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
54107,77106,24168,10117,3234
0,0,0,0,0
10095,2839,839,418,1141
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
52233,76791,24168,10117,1083
0,0,0,0,0
7316,2429,716,362,515
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
51467,76791,24168,10117,397
0,0,0,0,0
9932,2839,839,418,1047
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
50720,76791,24168,10117,221
0,0,0,0,0
6865,2429,716,362,252
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
53702,76791,24168,10117,3247
0,0,0,0,0
10214,2839,839,418,1237
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
52206,76791,24168,10117,1029
0,0,0,0,0
7409,2495,733,372,403
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
51293,76791,24168,10117,403
0,0,0,0,0
9950,2839,839,418,1107
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
51166,76791,24168,10117,523
0,0,0,0,0
9671,2429,718,362,875
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
53949,76791,24168,10117,3268
0,0,0,0,0
10243,2839,839,418,1011
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
52584,76791,24168,10117,1352
0,0,0,0,0
7838,2839,839,418,491
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
54695,76791,24168,10117,3242
0,0,0,0,0
8893,2429,716,362,999
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
51889,76791,24168,10117,1013
0,0,0,0,0
8303,2905,856,428,86
